variable,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio,sz_level,sz_size,sz_ratio
FLNS,2,35891488.0,3.532484303799274,10,28593813.0,4.434040258988894,0,-1.0,-9935522.0
FLNSC,3,51668210.0,2.244957082894879,12,29361976.0,3.95044645496611,0,-1.0,1.0
FLUT,3,34241606.0,3.214335098651623,12,26650565.0,4.129893531337891,0,-1.0,1.0
FSNS,2,30484341.0,3.7769687394587272,10,26197486.0,4.395017254709097,0,-1.0,-9305218.0
FSNSC,3,36411277.0,2.789013963998022,10,16635883.0,6.104368490689674,0,-1.0,1.0
FSNTOA,2,23837566.0,4.611680655650833,10,23313661.0,4.715314424448395,0,-1.0,1.0
ICEFRAC,2,8022248.0,3.006068249198978,12,8316295.0,2.8997798899630185,0,-1.0,1.0
LHFLX,2,40760318.0,3.201412388392063,10,28156855.0,4.634416272698069,0,-1.0,-10456229.0
PRECL,2,49655010.0,2.724326407345402,10,33792556.0,4.003143621334829,0,-1.0,-10652395.0
PRECSC,2,4490961.0,1.834636283859958,8,2729847.0,3.0182204350646757,0,-1.0,1.0
PRECSL,2,40795507.0,2.5060229304173127,10,29677040.0,3.444901378304575,0,-1.0,1.0
PRECT,2,48099134.0,2.774575255346593,10,32215727.0,4.142531596446667,0,-1.0,1.0
PRECTMX,2,48099134.0,2.774575255346593,10,32215727.0,4.142531596446667,0,-1.0,1.0
PSL,5,42613413.0,2.057081370131043,18,30620226.0,2.8627893863356855,0,-1.0,1.0
Q200,3,54833040.0,2.1821296430035613,12,29571481.0,4.046222845585583,0,-1.0,1.0
Q500,2,34984799.0,3.5649330727896995,10,23683417.0,5.266067265547028,0,-1.0,1.0
Q850,3,54441045.0,2.231659642095408,12,32136413.0,3.78056763833599,0,-1.0,1.0
QBOT,3,52364976.0,2.2817024684590708,12,31141230.0,3.836755805727648,0,-1.0,1.0
SHFLX,2,43048831.0,3.051739360820274,10,29713671.0,4.421325523864082,0,-1.0,-10615810.0
SRF,0,-1.0,1.0,0,-1.0,1.0,0,-1.0,1.0
T010,5,36319856.0,2.2914967779607935,18,24285977.0,3.4269501696390474,0,-1.0,1.0
T200,4,31239389.0,2.932873399028387,16,26431834.0,3.466319174068663,0,-1.0,1.0
T500,4,32345826.0,2.797697483440367,18,35217852.0,2.5695444458111756,0,-1.0,1.0
T850,4,38271883.0,2.4151319128980404,16,29296327.0,3.1550591990593224,0,-1.0,1.0
TAUX,2,43095302.0,3.0577060580756577,10,27320036.0,4.823301330935289,0,-1.0,1.0
TAUY,2,44943420.0,2.950255187522445,10,27879641.0,4.755963607996244,0,-1.0,1.0
TMQ,3,53099447.0,2.258126680678991,12,29412905.0,4.076621401388268,0,-1.0,-9418237.0
TREFHT,4,38687748.0,2.4289523649709466,16,29852528.0,3.1478304617953965,0,-1.0,1.0
TREFHTMN,4,40383155.0,2.3536399521037916,16,32342277.0,2.938797630111201,0,-1.0,1.0
TREFHTMX,4,39562508.0,2.3842061276802773,16,31271946.0,3.01628731387551,0,-1.0,1.0
TS,4,38314801.0,2.4546309140428524,16,30077590.0,3.1268693735103112,0,-1.0,-7697245.0
U010,3,42589282.0,2.5900706426560562,12,19831719.0,5.562263614162746,0,-1.0,1.0
U200,2,32571655.0,3.810149008393955,10,19101113.0,6.497153281067967,0,-1.0,1.0
U500,2,36102515.0,3.5060665441174943,10,21333300.0,5.9333445833509115,0,-1.0,1.0
U850,2,40435090.0,3.195186284981683,10,24296821.0,5.31747116217385,0,-1.0,1.0
VBOT,2,44857819.0,2.9281906683871544,8,17385743.0,7.555170175930933,0,-1.0,1.0
WSPDSRFAV,2,34766564.0,3.567134273033136,10,23694964.0,5.233897042426399,0,-1.0,1.0
Z050,6,53129030.0,1.393539765359917,22,35568417.0,2.0815493700492773,0,-1.0,1.0
Z500,4,32199222.0,2.7665421853981442,18,30917473.0,2.8812350220213663,0,-1.0,1.0
