,count,set,variable
orig_ICEFRAC,4094.0,orig_ICEFRAC,orig
orig_CLDLOW,4141.0,,
orig_SNOWHICE,4179.0,,
orig_FSNTOAC,13615.0,,
orig_FSNTC,12990.0,,
orig_FLNT,130.0,,
orig_FLDS,1028.0,,
orig_FSNSC,12561.0,,
orig_BURDENSO4,3646.0,orig_BURDENSO4,orig
orig_BURDENSOA,1613.0,orig_BURDENSOA,orig
orig_FLUT,134.0,,
orig_BURDENBC,341.0,,
orig_CCN3,4020.0,orig_CCN3,orig
orig_SOLIN,12262.0,orig_SOLIN,orig
orig_QRS,28005.0,orig_QRS,orig
orig_SFCO2_OCN,4426.0,orig_SFCO2_OCN,orig
orig_so4_a2_SRF,948.0,orig_so4_a2_SRF,orig
orig_UQ,1081.0,orig_UQ,orig
orig_U,1047.0,orig_U,orig
orig_RELHUM,4399.0,orig_RELHUM,orig
orig_V,119.0,orig_V,orig
